,title,text,date,language,country,source,keyword
10,"Cleft Palate Practice, Pre-Surgery","On a computer screen hovers a three-dimensional image, the face of a boy with a cleft lip and palate.
Using a mouse, a visitor to New York University's Virtual Surgery Research Laboratory can navigate through the boy's mouth, as if it were a landscape in a video game, passing under and through brightly colored layers of tissue, muscle and cartilage. Patches of transparency highlight underlying ivory bone.
The images are part of a highly accurate animated simulation of cleft lip and palate surgery that will eventually allow surgeons, medical residents and students to practice reconstructive procedures in real time, in a 3-D environment. Users will be able to mark incisions in virtual skin, draw back flaps to reveal underlying tissue layers and then manipulate these layers from different perspectives to repair a virtual cleft.
Cleft lip and cleft palate are birth defects characterized by the failure of tissue of the lip or mouth to close properly during fetal development. If left untreated, clefts can cause problems with speech, eating or breathing, as well as social difficulties for children who have the condition.",2005-08-02 05:00:00,en,usa,https://www.nytimes.com/,cleft palate
11,CLEFT PALATE TIED TO DEFECTIVE GENE,"Scientists have linked a rare form of cleft palate to a defective gene, a finding that could help lead to better understanding of another birth defect, spina bifida, a researcher has reported.
A study of genes from 82 members of a family in Iceland, of whom 21 had cleft palate or a related birth defect, showed that the faulty gene lies on a portion of the X chromosome, said the researcher, Dr. Gudrun Moore.
Dr. Moore and colleagues reported the finding in the Thursday issue of the British journal Nature.
Dr. Moore, a member of the biochemistry department at St. Mary's Hospital Medical School at the University of London, said she hoped the gene could be isolated and identified within six months. Once the gene is studied, scientists should get a clue into what goes wrong to produce cleft palate, she said in a telephone interview. Tissues Fail to Fuse
Since cleft palate and spina bifida, a spine defect, both involve failure of particular tissues to fuse in an embryo, she added, the conditions may share some underlying causes. Some cases of spina bifida are also linked to the X chromosome, and further study of them may shed light on any similarities, she said.",1987-03-05 05:00:00,en,usa,https://www.nytimes.com/,cleft palate
12,SCIENCE WATCH; STUDY HINTS CLEFT PALATE CAN BE CURED IN WOMB,"AN Irish scientist, investigating how cleft palate might be cured or prevented in humans before birth, has reported success in experiments with alligator fetuses. The findings are significant because the mouths and jaw structures of alligators are similar to those of humans.
Cleft palate, which affects about one of every 800 newborns, can cause speech and swallowing difficulties if not corrected. The defect has long been thought to be primarily caused by a genetic aberration, though its development in the fetal stage may also depend on external factors in pregnancy.
The scientist, Mark Ferguson, an anatomist at Queen's University in Belfast, Northern Ireland, traveled to Louisiana to gather eggs and catch young alligators. He transported the eggs and baby reptiles to the Laboratory for Developmental Biology at the University of Southern California in Los Angeles for his research. There he found that it was possible, by working through windows cut in the eggshells, to surgically correct the handicap in unborn alligators.
Dr. Ferguson, an expert on cleft palate, published his findings in the Jan. 16 issue of the American Dental Association's news journal. In the report, he said such procedures resulted in no sign of scarring when the reptiles reached full term and were born. This was in contrast to the effects of similar surgery on human adults, which resulted in leaving a scar. ''This holds out hope that at some point in the future the technique might be applied to human babies,'' he said.",1984-02-07 05:00:00,en,usa,https://www.nytimes.com/,cleft palate
13,U.S. IS ESTABLISHING CLEFT PALATE STUDY,"WASHINGTON, Aug. 27 (AP) —The nation's largest clinical research center for study of cleft lip and palate will be established at the Lancaster Cleft Palate Clinic in Lancaster, Pa., it was announced today.
Dr. Luther L. Terry, Surgeon General of the Public Health Service, said the center would be established under a grant from the National Institute of Dental Health of $428,642 for the first year of a projected seven‐year study.
Dr. Herbert K. Cooper, founder and director of the clinic, will conduct the comprehensive research program, studying both the origin and the treatment of the oral birth defect.
Once in every 800 births, a facial cleft occurs. In this common birth abnormality, all or part of the solid surface of the roof of the mouth is lacking. Eating, breathing and talking become difficult, and dental development and hearing are usually affected.",1964-08-28 05:00:00,en,usa,https://www.nytimes.com/,cleft palate
14,VITAL SIGNS: CONSEQUENCES; Linking Cleft Palates and Smoking Moms,"Smoking while pregnant has long been linked to general problems like premature deliveries and babies with low birth weights, but a new study reports that it may also be linked to two specific birth defects: cleft palate and cleft lip.
Even relatively few cigarettes -- 1 to 10 a day -- may increase the chances that an infant will need surgery to repair an improperly formed mouth or lip, the researchers say. The study was reported in a recent issue of Plastic and Reconstructive Surgery, the journal of the American Society of Plastic Surgeons.
Earlier studies had also suggested a link, the researchers said, but were too small to be definitive. In this case, using 1996 data from the National Center for Health Statistics, scientists compared 2,207 children born with cleft lips or palates with 4,414 children born with no congenital abnormalities.
They concluded that women who smoked up to half a pack -- 10 cigarettes -- a day had a 50 percent greater likelihood of giving birth to a child with the problem than did women who did not smoke. For women who smoked 11 to 20 cigarettes a day, the figure climbed to 55 percent, and for women who smoked more than 21 cigarettes, it was 78 percent.",2000-04-11 05:00:00,en,usa,https://www.nytimes.com/,cleft palate
15,CLEFT PALATE ANALYZED; U. S. Booklet Urges Immediate Medical Aid for Children,"Credit... The New York Times Archives
July 7, 1953 , Section AMUSEMENTS , Page 24 Buy Reprints See the article in its original context fromJuly 7, 1953 ,Page 24 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.",1953-07-07 05:00:00,en,usa,https://www.nytimes.com/,cleft palate
16,Cleft Palate Session Monday,"Credit... The New York Times Archives
April 3, 1948 , Section AMUSEMENTS , Page 17 Buy Reprints See the article in its original context fromApril 3, 1948 ,Page 17 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.",1948-04-03 05:00:00,en,usa,https://www.nytimes.com/,cleft palate
17,Whirlwind of Facial Surgery By Foreigners Upsets China,"Operation Smile said it had not seen the report.
''We have a long, long history in China in many, many sites,'' said Dr. Magee, who said he had not heard of any meeting or any recommendations.
The Operation
Low-Risk Procedure Still Leads to Death
Cleft lips and palate deformities are relatively common in China, especially in the countryside, where the condition may result from the marriage of close relatives as well as pollution, doctors say. A cleft lip or palate is rarely life-threatening and corrective surgery is generally considered elective -- though it can greatly improve a child's appearance and speech.
Risks associated with the surgery are low, but do exist. ''In the United States, it's extremely uncommon to lose a child, for a child to die, from cleft lip or palate surgery,'' said Dr. Marilyn Jones, the president of the American Cleft Palate-Craniofacial Association.
But Operation Smile has had 16 deaths since it began operations in 1982, three of them in China. The child in Beijing died just after anesthesia was applied without proper monitoring. In the mid-90's, two children died during a mission in Shantou in southern China, Dr. Li Yu, a surgeon at the university hospital there, reported.
The Plastic Surgery Hospital in Beijing had never had a child die during cleft lip or palate surgery until Operation Smile, doctors there said. The hospital's staff was shaken by a procedural error: Although the hospital requires the use of its modern equipment to monitor anesthesia during surgery, Operation Smile volunteers decided not to use it.
''When we saw American-trained anesthesiologists using these primitive methods, our impression was that they must have developed these methods for use in remote rural areas,'' the professor of anesthesia at the hospital said. ''We would never use them here, and my guess is that they would never be used at an American hospital.''
The professor said it is still not clear what killed the 3-year-old boy, from rural Shanxi province, but he said that the child's heart was normal and that he suspected an anesthesia overdose. He added that whatever the cause, a modern monitoring system would have detected the problem long before the child went into cardiac arrest.",1999-11-25 05:00:00,en,usa,https://www.nytimes.com/,cleft palate
18,"Janusz Bardach, 83, Gulag Survivor and Leading Plastic Surgeon","Dr. Janusz Bardach, a plastic surgeon who improved techniques for treating cleft lip and cleft palate and who wrote an acclaimed account of his life in Soviet labor camps in the early 1940's, died on Aug. 16 in Iowa City, his home. He was 83.
Dr. Bardach, a native of Ukraine who trained in Moscow after World War II, practiced plastic surgery in Poland and headed an early program in plastic surgery there. He came to the United States in 1972 and the next year became chairman of the division of plastic and reconstructive surgery at the University of Iowa Hospitals and Clinics in Iowa City. He also held other posts, administrative and teaching, at the university's Medical College before retiring in 1991.
Dr. Bardach developed what colleagues came to call the Bardach palatoplasty, a surgical procedure for patients with congenital clefts of the palate, a condition in which the palate is separated into halves.
The new procedure minimized scarring, entailed one operation instead of the two that had previously been required and improved the patient's speaking ability.",2002-08-31 05:00:00,en,usa,https://www.nytimes.com/,cleft palate
19,"An Unlikely Sex Symbol, Poised for a Breakthrough","He has only a few more lines in “Transit,” a time-jumbling modern-day adaptation of a novel about World War II, in which he plays a refugee trying to get exit papers to escape a coming invasion. In an email, Mr. Petzold, who also directed “Barbara” and “Phoenix,” described Mr. Rogowski as a “great actor” who is able to balance “sadness and confidence, coldness and empathy” like “a dancer.”
Anja Dihrberg, a veteran German casting director, helped cast Mr. Rogowski in Terrence Malick’s upcoming World War II film “Radegund.” She said by phone that Mr. Rogowski stood out in Germany for his physical performance, which she believed might be a lucky side effect of his speech impediment: The vast majority of German actors focus on being able to recite large amounts of text, she said, “but he is the exception.”
“You can lose yourself in Franz’s face and eyes,” Ms. Dihrberg added.
Mr. Rogowski said he was not allowed to reveal his role in “Radegund,” which tells the true story of Franz Jägerstätter, an Austrian conscientious objector, but Ms. Dihrberg described it as “a figure that is required to suffer.” She said that Mr. Malick was intent on overcoming scheduling conflicts to secure Mr. Rogowski’s participation. “We did everything we could to make it possible for him to play that role, because of Mr. Malick,” she said. “Terrence fought for him.”
Growing up in the university town of Tübingen, in southern Germany, Mr. Rogowski was bullied for his lisp and performed poorly in school, the result of what he said was an undiagnosed attention disorder. He also clashed with his mother, he said, because of an excessive pot-smoking habit. At 16, he left school and moved in with a friend.",2018-05-02 10:00:15,en,usa,https://www.nytimes.com/,cleft palate
20,HERPES NOW BLAMED FOR MORE ILLNESS THAN ANY OTHER HUMAN VIRUSES,"''Each year, another half million cases of genital herpes are added to the 20-odd million already infected,'' notes Dr. Fred Rapp, a microbiologist at Hershey Medical School and a leading herpes investigator. ''We will soon have 30 million cases, and the chances of getting infected by an occasional sexual partner keep increasing.''
According to Dr. Rapp, other characteristics responsible for the increased notoriety of herpes viruses and the difficulties researchers have in combating them include the following:
- All the herpes viruses can hide out in the body, apparently for life. At least three - the cold sore, genital herpes and chicken pox viruses - can re-emerge to cause recurrent infections.
- Although the first effective antiviral drug was developed against a herpes virus, there is still no cure for human herpes and no treatment can eradicate hidden infections or prevent their recurrence. Treatment can ward off herpes-caused blindness and potentially deadly encephalitis, but in the latter case, the treatment itself can have devastating side effects.
- All five human herpes viruses have been shown in the laboratory to transform normal human cells into cancer cells, though proof that the viruses actually cause cancer in people is still indefinite. Two nonhuman herpes viruses are already established causes of cancer in animals: Marek's disease, a lymphoma of chickens, and kidney cancer in leopard frogs. In addition to cervical cancer, in people herpes viruses are suspected causes of Burkitt's lymphoma, nasopharyngeal carcinoma, and possibly also vulvar cancer, Kaposi's sarcoma (which occurs primarily among homosexual men) and cancer of the prostate and bladder.
- Pieces of genetic material from genital herpes virus have been found in cancer cells of 40 to 50 percent of patients with cervical cancer, Dr. Rapp said. One study showed that women who married men whose first wives had cervical cancer themselves faced a three-tofour-times increased risk of developing the disease.
- Vaccines, which stimulate the production of antibodies to fight off infectious organisms, may not block latent or recurrent herpes or prevent herpes-triggered cancers. Recurrent infection and herpesassociated cancers occur in people who are loaded with antibodies, which may keep the virus from causing a body-wide attack, but cannot prevent recurring herpes lesions. Nor would they keep the virus from transforming cells to cancer.
However, a successful vaccine was developed against Marek's disease of chickens, raising the hope that similar preventives might ward off initial infections with human herpes viruses.
When the virus invades a cell, it sheds its outer layer, allowing viral genes to take over the cell's genetic machinery and turn it into a virus factory. The herpes viruses are structurally very similar, but most differ widely in genetic makeup. Only the two herpes simplex viruses share a large percentage of genes.
''The herpes viruses are genetically the most complex human viruses we have left to deal with,'' Dr. Rapp said. Yet only a small amount of viral genetic information - probably less than 3 percent of the total in a herpes virus - is needed to transform cells and maintain their cancerous state, Dr. Rapp has reported. Researchers working on herpes vaccines must be certain that the viral material used in the vaccine cannot itself transform cells to cancer. The usual vaccines made from modified live viruses probably could not be used against potentially cancer-causing herpes viruses.",1982-05-04 05:00:00,en,usa,https://www.nytimes.com/,herpes
21,"Gel Cuts Herpes Risk in Women, Study Finds","A vaginal gel that sharply reduces a woman’s risk of infection with the AIDS virus is even more effective against genital herpes, a much more common risk for young American women, a new study has found.
The study, by researchers from the National Institutes of Health, Gilead Sciences Inc. and universities in Belgium and Italy, suggests that the microbicide gel, which was originally developed to fight AIDS in Africa, could lower the incidence of herpes in many women.
“This could be incredibly helpful,” said Dr. Jeanne Marrazzo, a herpes expert from the University of Washington’s medical school. “Protection that a woman can control is the holy grail in this field. It’s hard for me to believe that something that protects against both H.I.V. and herpes wouldn’t be appealing to a lot of young American women.”
An executive at Gilead, the company that makes tenofovir, the anti-AIDS drug that is the gel’s active ingredient, said the company was debating whether to spend the millions of dollars needed to get the gel approved for the American market. Even if the company pressed ahead immediately, “it would be three to four years before we were ready to submit data” to the Food and Drug Administration, Norbert W. Bischofberger, Gilead’s chief scientific officer, said.",2011-10-21 00:02:06,en,usa,https://www.nytimes.com/,herpes
22,Personal Health; Genital herpes thrives on ignorance and secrecy.,"Type 1 herpes usually causes cold sores, and type 2 usually causes genital herpes, but the types overlap, and the genital infection can be acquired through oral sex with a partner who has a herpes outbreak on the mouth.
Experts say that to reduce the risk of spreading genital herpes, people with known active infections should practice abstinence until their sores are completely healed and use protective measures during sexual activity at all other times. The protective measures are the use of latex condoms along with a spermicidal jelly or cream, which can inactivate the herpes virus as well as other organisms that cause venereal disease.
But there are no guarantees. Having intimate contact with someone who has had genital herpes, even if the outbreak occurred years ago and never recurred, always carries some risk of acquiring the infection. But someone who acquires the virus from an infected partner may not develop herpes sores, even though he or she could pass the infection along to someone else. One person in 10 who has a first outbreak never has a recurrence. High Emotional Toll
The young woman who wrote to The Times is hardly alone in her feelings of desperation and social inhibition. A survey conducted last July by the American Social Health Association among 5,000 men and women infected by herpes revealed that even years after the first attack, feelings of isolation and depression are commonplace. More than half of the 62 percent who responded to the survey reported feeling depressed, and an equal number said they feared rejection in social situations.
With time, the impact of herpes on work and school performance and nonsexual social pleasure diminished. But the respondents continued to be distressed about sexual issues. Forty-four percent said they thought that herpes diminished their desirability and 48 percent said it interfered with establishing new relationships.
The survey respondents also gave poor marks to the physicians they had initially consulted about herpes. Sixty-four percent said the doctors had failed to deal appropriately with the emotional issues related to their infection.
While there is no cure for a herpes infection, the severity and duration of an attack can be reduced by an antiviral drug, acyclovir, if it is taken during the initial outbreak for 10 days or at the first signs of a recurrence for five days. The drug is usually taken orally five times a day. Various treatments may also be applied directly to the affected area to relieve discomfort and speed healing.",1992-08-12 05:00:00,en,usa,https://www.nytimes.com/,herpes
